trait	gwas_loci	n_studies
insomnia	4422	47
chronotype	1212	26
sleep duration	962	47
narcolepsy	46	15
excessive daytime sleepiness	20	4
sleep quality	13	6
hypersomnia	6	2
sleep latency	1	2
